title,description
Organizar arquivos,Classificar e organizar todos os documentos importantes.  
Enviar relatório final,Preparar e enviar o relatório trimestral para o cliente.  
Planejar reunião,Agendar e preparar a pauta para a reunião de equipe.  
Atualizar sistema,Realizar a atualização do sistema operacional da empresa.  
Criar apresentação,Desenvolver slides para a apresentação do novo projeto.  
Revisar contrato,Analisar os termos do contrato antes da assinatura.  
Responder e-mails,Priorizar e responder as mensagens pendentes da caixa de entrada.  
Realizar treinamento,Preparar e ministrar o treinamento para os novos funcionários.  
Analisar métricas,Revisar os dados do último relatório de desempenho.  
Testar funcionalidade,Validar e corrigir bugs na nova funcionalidade do sistema.  
